Category: All categories

Week,covid: (Detroit MI)
2018-04-22,0
2018-04-29,0
2018-05-06,<1
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,<1
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,<1
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,<1
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,<1
2018-09-23,0
2018-09-30,0
2018-10-07,<1
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,<1
2018-11-18,0
2018-11-25,0
2018-12-02,<1
2018-12-09,0
2018-12-16,0
2018-12-23,<1
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,0
2019-03-03,0
2019-03-10,<1
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,<1
2019-04-14,0
2019-04-21,0
2019-04-28,<1
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,<1
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,<1
2019-07-21,0
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,0
2019-08-25,<1
2019-09-01,0
2019-09-08,0
2019-09-15,<1
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,3
2020-03-08,19
2020-03-15,54
2020-03-22,68
2020-03-29,71
2020-04-05,61
2020-04-12,48
2020-04-19,44
2020-04-26,39
2020-05-03,36
2020-05-10,32
2020-05-17,32
2020-05-24,28
2020-05-31,24
2020-06-07,24
2020-06-14,27
2020-06-21,33
2020-06-28,41
2020-07-05,45
2020-07-12,52
2020-07-19,42
2020-07-26,45
2020-08-02,37
2020-08-09,34
2020-08-16,31
2020-08-23,27
2020-08-30,27
2020-09-06,25
2020-09-13,25
2020-09-20,23
2020-09-27,32
2020-10-04,33
2020-10-11,32
2020-10-18,33
2020-10-25,45
2020-11-01,39
2020-11-08,62
2020-11-15,71
2020-11-22,48
2020-11-29,47
2020-12-06,47
2020-12-13,46
2020-12-20,40
2020-12-27,41
2021-01-03,43
2021-01-10,47
2021-01-17,42
2021-01-24,45
2021-01-31,39
2021-02-07,38
2021-02-14,32
2021-02-21,38
2021-02-28,42
2021-03-07,57
2021-03-14,58
2021-03-21,72
2021-03-28,75
2021-04-04,88
2021-04-11,73
2021-04-18,56
2021-04-25,50
2021-05-02,41
2021-05-09,35
2021-05-16,30
2021-05-23,25
2021-05-30,24
2021-06-06,21
2021-06-13,20
2021-06-20,19
2021-06-27,20
2021-07-04,20
2021-07-11,21
2021-07-18,25
2021-07-25,28
2021-08-01,42
2021-08-08,38
2021-08-15,35
2021-08-22,37
2021-08-29,39
2021-09-05,36
2021-09-12,33
2021-09-19,33
2021-09-26,33
2021-10-03,30
2021-10-10,29
2021-10-17,29
2021-10-24,28
2021-10-31,29
2021-11-07,36
2021-11-14,42
2021-11-21,42
2021-11-28,50
2021-12-05,40
2021-12-12,44
2021-12-19,82
2021-12-26,100
2022-01-02,99
2022-01-09,72
2022-01-16,73
2022-01-23,34
2022-01-30,28
2022-02-06,23
2022-02-13,19
2022-02-20,18
2022-02-27,16
2022-03-06,17
2022-03-13,16
2022-03-20,14
2022-03-27,15
2022-04-03,15
2022-04-10,16
2022-04-17,16
2022-04-24,17
2022-05-01,19
2022-05-08,22
2022-05-15,22
2022-05-22,19
2022-05-29,16
2022-06-05,16
2022-06-12,14
2022-06-19,14
2022-06-26,14
2022-07-03,15
2022-07-10,16
2022-07-17,18
2022-07-24,17
2022-07-31,17
2022-08-07,16
2022-08-14,15
2022-08-21,14
2022-08-28,14
2022-09-04,15
2022-09-11,15
2022-09-18,14
2022-09-25,12
2022-10-02,12
2022-10-09,12
2022-10-16,13
2022-10-23,11
2022-10-30,10
2022-11-06,9
2022-11-13,8
2022-11-20,8
2022-11-27,10
2022-12-04,10
2022-12-11,13
2022-12-18,12
2022-12-25,11
2023-01-01,10
2023-01-08,8
2023-01-15,7
2023-01-22,6
2023-01-29,7
2023-02-05,6
2023-02-12,6
2023-02-19,6
2023-02-26,6
2023-03-05,5
2023-03-12,6
2023-03-19,6
2023-03-26,6
2023-04-02,5
2023-04-09,5
2023-04-16,4
