Category: All categories

Week,covid symptoms: (Detroit MI)
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,1
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,1
2018-07-08,0
2018-07-15,2
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,1
2018-08-26,1
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,1
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,1
2019-03-17,1
2019-03-24,0
2019-03-31,1
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,1
2019-06-02,0
2019-06-09,1
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,2
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,1
2019-10-27,1
2019-11-03,0
2019-11-10,1
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,<1
2020-01-12,0
2020-01-19,2
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,0
2020-02-23,1
2020-03-01,2
2020-03-08,31
2020-03-15,62
2020-03-22,75
2020-03-29,65
2020-04-05,48
2020-04-12,31
2020-04-19,27
2020-04-26,27
2020-05-03,23
2020-05-10,23
2020-05-17,18
2020-05-24,21
2020-05-31,18
2020-06-07,15
2020-06-14,16
2020-06-21,27
2020-06-28,38
2020-07-05,46
2020-07-12,47
2020-07-19,35
2020-07-26,41
2020-08-02,39
2020-08-09,38
2020-08-16,33
2020-08-23,30
2020-08-30,28
2020-09-06,26
2020-09-13,29
2020-09-20,31
2020-09-27,32
2020-10-04,38
2020-10-11,35
2020-10-18,36
2020-10-25,51
2020-11-01,52
2020-11-08,71
2020-11-15,79
2020-11-22,66
2020-11-29,54
2020-12-06,48
2020-12-13,38
2020-12-20,39
2020-12-27,38
2021-01-03,37
2021-01-10,26
2021-01-17,22
2021-01-24,26
2021-01-31,22
2021-02-07,26
2021-02-14,21
2021-02-21,23
2021-02-28,20
2021-03-07,26
2021-03-14,29
2021-03-21,56
2021-03-28,66
2021-04-04,64
2021-04-11,57
2021-04-18,39
2021-04-25,31
2021-05-02,24
2021-05-09,20
2021-05-16,17
2021-05-23,13
2021-05-30,12
2021-06-06,12
2021-06-13,13
2021-06-20,11
2021-06-27,11
2021-07-04,14
2021-07-11,14
2021-07-18,18
2021-07-25,20
2021-08-01,27
2021-08-08,33
2021-08-15,32
2021-08-22,31
2021-08-29,29
2021-09-05,36
2021-09-12,41
2021-09-19,35
2021-09-26,32
2021-10-03,32
2021-10-10,29
2021-10-17,30
2021-10-24,32
2021-10-31,33
2021-11-07,38
2021-11-14,35
2021-11-21,42
2021-11-28,53
2021-12-05,43
2021-12-12,45
2021-12-19,85
2021-12-26,100
2022-01-02,99
2022-01-09,64
2022-01-16,46
2022-01-23,35
2022-01-30,19
2022-02-06,11
2022-02-13,10
2022-02-20,10
2022-02-27,6
2022-03-06,10
2022-03-13,11
2022-03-20,12
2022-03-27,11
2022-04-03,13
2022-04-10,14
2022-04-17,16
2022-04-24,18
2022-05-01,22
2022-05-08,26
2022-05-15,23
2022-05-22,21
2022-05-29,16
2022-06-05,15
2022-06-12,17
2022-06-19,15
2022-06-26,17
2022-07-03,16
2022-07-10,22
2022-07-17,27
2022-07-24,26
2022-07-31,24
2022-08-07,23
2022-08-14,19
2022-08-21,21
2022-08-28,17
2022-09-04,15
2022-09-11,17
2022-09-18,17
2022-09-25,13
2022-10-02,15
2022-10-09,13
2022-10-16,14
2022-10-23,14
2022-10-30,14
2022-11-06,10
2022-11-13,10
2022-11-20,11
2022-11-27,14
2022-12-04,13
2022-12-11,19
2022-12-18,15
2022-12-25,19
2023-01-01,14
2023-01-08,12
2023-01-15,8
2023-01-22,8
2023-01-29,8
2023-02-05,10
2023-02-12,8
2023-02-19,10
2023-02-26,7
2023-03-05,8
2023-03-12,9
2023-03-19,8
2023-03-26,9
2023-04-02,7
2023-04-09,5
2023-04-16,0
