Category: All categories

Week,flu: (Detroit MI)
2018-04-22,8
2018-04-29,7
2018-05-06,5
2018-05-13,4
2018-05-20,4
2018-05-27,3
2018-06-03,3
2018-06-10,4
2018-06-17,4
2018-06-24,3
2018-07-01,2
2018-07-08,5
2018-07-15,3
2018-07-22,5
2018-07-29,5
2018-08-05,8
2018-08-12,4
2018-08-19,6
2018-08-26,5
2018-09-02,6
2018-09-09,8
2018-09-16,12
2018-09-23,14
2018-09-30,19
2018-10-07,17
2018-10-14,16
2018-10-21,16
2018-10-28,13
2018-11-04,9
2018-11-11,13
2018-11-18,10
2018-11-25,12
2018-12-02,10
2018-12-09,13
2018-12-16,13
2018-12-23,15
2018-12-30,18
2019-01-06,18
2019-01-13,16
2019-01-20,14
2019-01-27,11
2019-02-03,12
2019-02-10,11
2019-02-17,12
2019-02-24,13
2019-03-03,14
2019-03-10,18
2019-03-17,18
2019-03-24,19
2019-03-31,16
2019-04-07,11
2019-04-14,9
2019-04-21,8
2019-04-28,8
2019-05-05,6
2019-05-12,6
2019-05-19,4
2019-05-26,4
2019-06-02,2
2019-06-09,4
2019-06-16,4
2019-06-23,3
2019-06-30,3
2019-07-07,2
2019-07-14,2
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,4
2019-08-25,5
2019-09-01,7
2019-09-08,10
2019-09-15,11
2019-09-22,13
2019-09-29,18
2019-10-06,20
2019-10-13,21
2019-10-20,14
2019-10-27,15
2019-11-03,13
2019-11-10,12
2019-11-17,13
2019-11-24,12
2019-12-01,13
2019-12-08,15
2019-12-15,19
2019-12-22,25
2019-12-29,27
2020-01-05,29
2020-01-12,29
2020-01-19,27
2020-01-26,35
2020-02-02,35
2020-02-09,28
2020-02-16,29
2020-02-23,46
2020-03-01,51
2020-03-08,100
2020-03-15,92
2020-03-22,72
2020-03-29,56
2020-04-05,38
2020-04-12,36
2020-04-19,32
2020-04-26,25
2020-05-03,20
2020-05-10,19
2020-05-17,16
2020-05-24,14
2020-05-31,7
2020-06-07,6
2020-06-14,6
2020-06-21,9
2020-06-28,16
2020-07-05,9
2020-07-12,12
2020-07-19,12
2020-07-26,12
2020-08-02,12
2020-08-09,11
2020-08-16,12
2020-08-23,14
2020-08-30,15
2020-09-06,16
2020-09-13,19
2020-09-20,22
2020-09-27,21
2020-10-04,27
2020-10-11,22
2020-10-18,22
2020-10-25,23
2020-11-01,14
2020-11-08,18
2020-11-15,20
2020-11-22,14
2020-11-29,15
2020-12-06,15
2020-12-13,14
2020-12-20,11
2020-12-27,11
2021-01-03,11
2021-01-10,9
2021-01-17,9
2021-01-24,7
2021-01-31,8
2021-02-07,8
2021-02-14,7
2021-02-21,8
2021-02-28,6
2021-03-07,7
2021-03-14,8
2021-03-21,8
2021-03-28,8
2021-04-04,9
2021-04-11,9
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,5
2021-05-16,6
2021-05-23,6
2021-05-30,9
2021-06-06,5
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,3
2021-07-11,4
2021-07-18,5
2021-07-25,5
2021-08-01,6
2021-08-08,7
2021-08-15,8
2021-08-22,7
2021-08-29,9
2021-09-05,11
2021-09-12,12
2021-09-19,15
2021-09-26,17
2021-10-03,20
2021-10-10,19
2021-10-17,15
2021-10-24,16
2021-10-31,19
2021-11-07,16
2021-11-14,26
2021-11-21,17
2021-11-28,15
2021-12-05,12
2021-12-12,14
2021-12-19,16
2021-12-26,15
2022-01-02,19
2022-01-09,14
2022-01-16,11
2022-01-23,8
2022-01-30,7
2022-02-06,6
2022-02-13,6
2022-02-20,7
2022-02-27,6
2022-03-06,8
2022-03-13,8
2022-03-20,10
2022-03-27,10
2022-04-03,10
2022-04-10,11
2022-04-17,14
2022-04-24,13
2022-05-01,13
2022-05-08,13
2022-05-15,9
2022-05-22,9
2022-05-29,7
2022-06-05,6
2022-06-12,4
2022-06-19,4
2022-06-26,4
2022-07-03,6
2022-07-10,4
2022-07-17,3
2022-07-24,4
2022-07-31,4
2022-08-07,4
2022-08-14,4
2022-08-21,7
2022-08-28,6
2022-09-04,8
2022-09-11,8
2022-09-18,11
2022-09-25,15
2022-10-02,14
2022-10-09,15
2022-10-16,18
2022-10-23,17
2022-10-30,14
2022-11-06,15
2022-11-13,15
2022-11-20,14
2022-11-27,20
2022-12-04,24
2022-12-11,29
2022-12-18,31
2022-12-25,27
2023-01-01,15
2023-01-08,10
2023-01-15,11
2023-01-22,8
2023-01-29,10
2023-02-05,9
2023-02-12,8
2023-02-19,9
2023-02-26,8
2023-03-05,7
2023-03-12,7
2023-03-19,8
2023-03-26,6
2023-04-02,5
2023-04-09,5
2023-04-16,2
