Category: All categories

Week,flu symptoms: (Detroit MI)
2018-04-22,19
2018-04-29,11
2018-05-06,9
2018-05-13,10
2018-05-20,10
2018-05-27,0
2018-06-03,9
2018-06-10,0
2018-06-17,5
2018-06-24,5
2018-07-01,4
2018-07-08,11
2018-07-15,8
2018-07-22,10
2018-07-29,14
2018-08-05,12
2018-08-12,13
2018-08-19,13
2018-08-26,18
2018-09-02,0
2018-09-09,4
2018-09-16,13
2018-09-23,18
2018-09-30,18
2018-10-07,18
2018-10-14,16
2018-10-21,15
2018-10-28,16
2018-11-04,10
2018-11-11,20
2018-11-18,28
2018-11-25,17
2018-12-02,14
2018-12-09,22
2018-12-16,28
2018-12-23,41
2018-12-30,31
2019-01-06,30
2019-01-13,18
2019-01-20,29
2019-01-27,23
2019-02-03,17
2019-02-10,28
2019-02-17,25
2019-02-24,30
2019-03-03,29
2019-03-10,38
2019-03-17,47
2019-03-24,26
2019-03-31,41
2019-04-07,16
2019-04-14,15
2019-04-21,12
2019-04-28,15
2019-05-05,9
2019-05-12,14
2019-05-19,10
2019-05-26,8
2019-06-02,4
2019-06-09,7
2019-06-16,5
2019-06-23,5
2019-06-30,4
2019-07-07,6
2019-07-14,5
2019-07-21,11
2019-07-28,5
2019-08-04,9
2019-08-11,10
2019-08-18,7
2019-08-25,10
2019-09-01,13
2019-09-08,8
2019-09-15,8
2019-09-22,13
2019-09-29,11
2019-10-06,24
2019-10-13,21
2019-10-20,26
2019-10-27,25
2019-11-03,19
2019-11-10,20
2019-11-17,27
2019-11-24,10
2019-12-01,26
2019-12-08,38
2019-12-15,41
2019-12-22,37
2019-12-29,62
2020-01-05,57
2020-01-12,61
2020-01-19,43
2020-01-26,55
2020-02-02,61
2020-02-09,54
2020-02-16,59
2020-02-23,49
2020-03-01,69
2020-03-08,100
2020-03-15,91
2020-03-22,61
2020-03-29,27
2020-04-05,18
2020-04-12,15
2020-04-19,6
2020-04-26,8
2020-05-03,0
2020-05-10,0
2020-05-17,5
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,2
2020-06-21,6
2020-06-28,4
2020-07-05,3
2020-07-12,7
2020-07-19,0
2020-07-26,0
2020-08-02,7
2020-08-09,12
2020-08-16,0
2020-08-23,6
2020-08-30,7
2020-09-06,3
2020-09-13,10
2020-09-20,7
2020-09-27,15
2020-10-04,23
2020-10-11,11
2020-10-18,12
2020-10-25,20
2020-11-01,8
2020-11-08,12
2020-11-15,19
2020-11-22,22
2020-11-29,10
2020-12-06,11
2020-12-13,18
2020-12-20,13
2020-12-27,10
2021-01-03,10
2021-01-10,16
2021-01-17,5
2021-01-24,6
2021-01-31,10
2021-02-07,8
2021-02-14,5
2021-02-21,7
2021-02-28,8
2021-03-07,5
2021-03-14,7
2021-03-21,18
2021-03-28,13
2021-04-04,7
2021-04-11,8
2021-04-18,7
2021-04-25,6
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,7
2021-05-30,10
2021-06-06,7
2021-06-13,0
2021-06-20,0
2021-06-27,10
2021-07-04,5
2021-07-11,6
2021-07-18,6
2021-07-25,0
2021-08-01,5
2021-08-08,3
2021-08-15,10
2021-08-22,10
2021-08-29,13
2021-09-05,12
2021-09-12,14
2021-09-19,10
2021-09-26,16
2021-10-03,13
2021-10-10,15
2021-10-17,21
2021-10-24,16
2021-10-31,22
2021-11-07,42
2021-11-14,32
2021-11-21,26
2021-11-28,23
2021-12-05,4
2021-12-12,16
2021-12-19,25
2021-12-26,23
2022-01-02,50
2022-01-09,26
2022-01-16,20
2022-01-23,13
2022-01-30,10
2022-02-06,11
2022-02-13,5
2022-02-20,10
2022-02-27,5
2022-03-06,17
2022-03-13,16
2022-03-20,19
2022-03-27,19
2022-04-03,27
2022-04-10,20
2022-04-17,19
2022-04-24,24
2022-05-01,30
2022-05-08,27
2022-05-15,22
2022-05-22,12
2022-05-29,17
2022-06-05,15
2022-06-12,10
2022-06-19,5
2022-06-26,12
2022-07-03,10
2022-07-10,8
2022-07-17,12
2022-07-24,10
2022-07-31,6
2022-08-07,0
2022-08-14,3
2022-08-21,9
2022-08-28,2
2022-09-04,8
2022-09-11,9
2022-09-18,0
2022-09-25,10
2022-10-02,13
2022-10-09,15
2022-10-16,18
2022-10-23,18
2022-10-30,12
2022-11-06,21
2022-11-13,20
2022-11-20,20
2022-11-27,42
2022-12-04,44
2022-12-11,64
2022-12-18,53
2022-12-25,44
2023-01-01,24
2023-01-08,18
2023-01-15,18
2023-01-22,14
2023-01-29,3
2023-02-05,16
2023-02-12,15
2023-02-19,16
2023-02-26,14
2023-03-05,11
2023-03-12,22
2023-03-19,13
2023-03-26,8
2023-04-02,14
2023-04-09,9
2023-04-16,0
