Category: All categories

Week,norovirus: (Detroit MI)
2018-04-22,5
2018-04-29,3
2018-05-06,8
2018-05-13,3
2018-05-20,4
2018-05-27,6
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,6
2018-08-05,5
2018-08-12,0
2018-08-19,0
2018-08-26,4
2018-09-02,3
2018-09-09,3
2018-09-16,7
2018-09-23,0
2018-09-30,7
2018-10-07,3
2018-10-14,0
2018-10-21,0
2018-10-28,12
2018-11-04,6
2018-11-11,7
2018-11-18,0
2018-11-25,3
2018-12-02,0
2018-12-09,4
2018-12-16,10
2018-12-23,15
2018-12-30,12
2019-01-06,94
2019-01-13,69
2019-01-20,21
2019-01-27,18
2019-02-03,21
2019-02-10,15
2019-02-17,13
2019-02-24,0
2019-03-03,17
2019-03-10,4
2019-03-17,12
2019-03-24,18
2019-03-31,9
2019-04-07,6
2019-04-14,11
2019-04-21,11
2019-04-28,7
2019-05-05,7
2019-05-12,7
2019-05-19,9
2019-05-26,0
2019-06-02,4
2019-06-09,0
2019-06-16,0
2019-06-23,7
2019-06-30,4
2019-07-07,0
2019-07-14,4
2019-07-21,5
2019-07-28,0
2019-08-04,10
2019-08-11,0
2019-08-18,6
2019-08-25,0
2019-09-01,3
2019-09-08,0
2019-09-15,6
2019-09-22,14
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,7
2019-10-27,0
2019-11-03,9
2019-11-10,12
2019-11-17,5
2019-11-24,7
2019-12-01,11
2019-12-08,13
2019-12-15,5
2019-12-22,16
2019-12-29,11
2020-01-05,14
2020-01-12,7
2020-01-19,9
2020-01-26,12
2020-02-02,8
2020-02-09,14
2020-02-16,13
2020-02-23,7
2020-03-01,17
2020-03-08,35
2020-03-15,18
2020-03-22,7
2020-03-29,11
2020-04-05,5
2020-04-12,8
2020-04-19,5
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,5
2020-05-24,0
2020-05-31,0
2020-06-07,3
2020-06-14,4
2020-06-21,0
2020-06-28,3
2020-07-05,4
2020-07-12,11
2020-07-19,0
2020-07-26,3
2020-08-02,3
2020-08-09,4
2020-08-16,6
2020-08-23,3
2020-08-30,5
2020-09-06,0
2020-09-13,3
2020-09-20,0
2020-09-27,5
2020-10-04,6
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,5
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,3
2021-01-10,3
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,6
2021-02-14,8
2021-02-21,0
2021-02-28,0
2021-03-07,5
2021-03-14,0
2021-03-21,7
2021-03-28,0
2021-04-04,6
2021-04-11,6
2021-04-18,7
2021-04-25,8
2021-05-02,0
2021-05-09,0
2021-05-16,9
2021-05-23,10
2021-05-30,0
2021-06-06,0
2021-06-13,3
2021-06-20,2
2021-06-27,7
2021-07-04,3
2021-07-11,0
2021-07-18,5
2021-07-25,7
2021-08-01,0
2021-08-08,3
2021-08-15,11
2021-08-22,5
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,6
2021-10-24,4
2021-10-31,6
2021-11-07,0
2021-11-14,0
2021-11-21,8
2021-11-28,4
2021-12-05,4
2021-12-12,8
2021-12-19,10
2021-12-26,10
2022-01-02,8
2022-01-09,6
2022-01-16,0
2022-01-23,0
2022-01-30,7
2022-02-06,11
2022-02-13,13
2022-02-20,3
2022-02-27,18
2022-03-06,17
2022-03-13,22
2022-03-20,29
2022-03-27,21
2022-04-03,17
2022-04-10,29
2022-04-17,15
2022-04-24,16
2022-05-01,12
2022-05-08,15
2022-05-15,5
2022-05-22,15
2022-05-29,0
2022-06-05,9
2022-06-12,6
2022-06-19,0
2022-06-26,6
2022-07-03,0
2022-07-10,0
2022-07-17,6
2022-07-24,5
2022-07-31,4
2022-08-07,7
2022-08-14,8
2022-08-21,7
2022-08-28,4
2022-09-04,5
2022-09-11,5
2022-09-18,0
2022-09-25,5
2022-10-02,9
2022-10-09,0
2022-10-16,11
2022-10-23,10
2022-10-30,3
2022-11-06,3
2022-11-13,12
2022-11-20,17
2022-11-27,5
2022-12-04,5
2022-12-11,7
2022-12-18,21
2022-12-25,13
2023-01-01,17
2023-01-08,8
2023-01-15,11
2023-01-22,10
2023-01-29,11
2023-02-05,49
2023-02-12,100
2023-02-19,56
2023-02-26,49
2023-03-05,53
2023-03-12,36
2023-03-19,30
2023-03-26,24
2023-04-02,18
2023-04-09,23
2023-04-16,0
