Category: All categories

Week,rsv symptoms: (Detroit MI)
2018-04-22,4
2018-04-29,0
2018-05-06,3
2018-05-13,4
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,6
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,5
2018-09-30,0
2018-10-07,10
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,3
2018-11-11,6
2018-11-18,5
2018-11-25,0
2018-12-02,0
2018-12-09,5
2018-12-16,0
2018-12-23,7
2018-12-30,17
2019-01-06,7
2019-01-13,10
2019-01-20,5
2019-01-27,3
2019-02-03,6
2019-02-10,4
2019-02-17,0
2019-02-24,5
2019-03-03,0
2019-03-10,15
2019-03-17,0
2019-03-24,3
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,8
2019-05-05,5
2019-05-12,3
2019-05-19,0
2019-05-26,0
2019-06-02,3
2019-06-09,0
2019-06-16,7
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,3
2019-08-25,0
2019-09-01,0
2019-09-08,3
2019-09-15,0
2019-09-22,9
2019-09-29,0
2019-10-06,0
2019-10-13,7
2019-10-20,0
2019-10-27,5
2019-11-03,4
2019-11-10,5
2019-11-17,0
2019-11-24,6
2019-12-01,2
2019-12-08,0
2019-12-15,8
2019-12-22,7
2019-12-29,11
2020-01-05,15
2020-01-12,12
2020-01-19,7
2020-01-26,17
2020-02-02,0
2020-02-09,11
2020-02-16,10
2020-02-23,0
2020-03-01,8
2020-03-08,0
2020-03-15,4
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,3
2020-04-19,0
2020-04-26,0
2020-05-03,5
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,3
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,5
2020-08-16,0
2020-08-23,0
2020-08-30,2
2020-09-06,2
2020-09-13,0
2020-09-20,0
2020-09-27,4
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,6
2020-11-01,3
2020-11-08,3
2020-11-15,3
2020-11-22,0
2020-11-29,3
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,3
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,3
2021-05-30,0
2021-06-06,0
2021-06-13,3
2021-06-20,0
2021-06-27,8
2021-07-04,0
2021-07-11,15
2021-07-18,8
2021-07-25,7
2021-08-01,7
2021-08-08,11
2021-08-15,6
2021-08-22,17
2021-08-29,12
2021-09-05,14
2021-09-12,19
2021-09-19,15
2021-09-26,19
2021-10-03,19
2021-10-10,16
2021-10-17,15
2021-10-24,24
2021-10-31,19
2021-11-07,15
2021-11-14,6
2021-11-21,8
2021-11-28,0
2021-12-05,12
2021-12-12,7
2021-12-19,13
2021-12-26,7
2022-01-02,5
2022-01-09,0
2022-01-16,5
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,5
2022-02-20,5
2022-02-27,0
2022-03-06,0
2022-03-13,3
2022-03-20,6
2022-03-27,0
2022-04-03,4
2022-04-10,4
2022-04-17,3
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,12
2022-05-29,3
2022-06-05,0
2022-06-12,0
2022-06-19,3
2022-06-26,0
2022-07-03,0
2022-07-10,6
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,5
2022-09-04,7
2022-09-11,0
2022-09-18,10
2022-09-25,4
2022-10-02,7
2022-10-09,8
2022-10-16,26
2022-10-23,56
2022-10-30,100
2022-11-06,88
2022-11-13,80
2022-11-20,80
2022-11-27,49
2022-12-04,69
2022-12-11,65
2022-12-18,54
2022-12-25,34
2023-01-01,25
2023-01-08,16
2023-01-15,14
2023-01-22,0
2023-01-29,6
2023-02-05,4
2023-02-12,6
2023-02-19,8
2023-02-26,8
2023-03-05,5
2023-03-12,0
2023-03-19,5
2023-03-26,3
2023-04-02,7
2023-04-09,7
2023-04-16,0
