Category: All categories

Week,stomach flu: (Detroit MI)
2018-04-22,57
2018-04-29,31
2018-05-06,24
2018-05-13,32
2018-05-20,40
2018-05-27,34
2018-06-03,6
2018-06-10,21
2018-06-17,7
2018-06-24,18
2018-07-01,21
2018-07-08,21
2018-07-15,19
2018-07-22,10
2018-07-29,18
2018-08-05,10
2018-08-12,0
2018-08-19,14
2018-08-26,27
2018-09-02,17
2018-09-09,17
2018-09-16,37
2018-09-23,13
2018-09-30,7
2018-10-07,14
2018-10-14,10
2018-10-21,28
2018-10-28,26
2018-11-04,19
2018-11-11,29
2018-11-18,36
2018-11-25,39
2018-12-02,35
2018-12-09,34
2018-12-16,65
2018-12-23,89
2018-12-30,78
2019-01-06,74
2019-01-13,67
2019-01-20,52
2019-01-27,53
2019-02-03,43
2019-02-10,53
2019-02-17,43
2019-02-24,57
2019-03-03,46
2019-03-10,67
2019-03-17,57
2019-03-24,51
2019-03-31,50
2019-04-07,54
2019-04-14,23
2019-04-21,43
2019-04-28,35
2019-05-05,24
2019-05-12,46
2019-05-19,13
2019-05-26,0
2019-06-02,16
2019-06-09,38
2019-06-16,17
2019-06-23,0
2019-06-30,0
2019-07-07,24
2019-07-14,6
2019-07-21,0
2019-07-28,0
2019-08-04,6
2019-08-11,13
2019-08-18,16
2019-08-25,32
2019-09-01,11
2019-09-08,0
2019-09-15,27
2019-09-22,27
2019-09-29,14
2019-10-06,17
2019-10-13,20
2019-10-20,7
2019-10-27,21
2019-11-03,34
2019-11-10,15
2019-11-17,17
2019-11-24,12
2019-12-01,28
2019-12-08,43
2019-12-15,42
2019-12-22,100
2019-12-29,60
2020-01-05,67
2020-01-12,57
2020-01-19,51
2020-01-26,58
2020-02-02,69
2020-02-09,44
2020-02-16,51
2020-02-23,77
2020-03-01,46
2020-03-08,72
2020-03-15,34
2020-03-22,34
2020-03-29,11
2020-04-05,33
2020-04-12,33
2020-04-19,0
2020-04-26,14
2020-05-03,16
2020-05-10,8
2020-05-17,22
2020-05-24,15
2020-05-31,7
2020-06-07,0
2020-06-14,5
2020-06-21,0
2020-06-28,15
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,5
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,8
2020-09-06,0
2020-09-13,11
2020-09-20,13
2020-09-27,7
2020-10-04,14
2020-10-11,8
2020-10-18,9
2020-10-25,12
2020-11-01,5
2020-11-08,6
2020-11-15,0
2020-11-22,11
2020-11-29,7
2020-12-06,9
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,26
2021-01-17,11
2021-01-24,5
2021-01-31,0
2021-02-07,6
2021-02-14,11
2021-02-21,10
2021-02-28,0
2021-03-07,8
2021-03-14,27
2021-03-21,6
2021-03-28,24
2021-04-04,14
2021-04-11,7
2021-04-18,14
2021-04-25,17
2021-05-02,13
2021-05-09,8
2021-05-16,8
2021-05-23,18
2021-05-30,10
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,24
2021-07-04,8
2021-07-11,13
2021-07-18,18
2021-07-25,11
2021-08-01,0
2021-08-08,18
2021-08-15,0
2021-08-22,0
2021-08-29,12
2021-09-05,17
2021-09-12,10
2021-09-19,13
2021-09-26,7
2021-10-03,0
2021-10-10,15
2021-10-17,7
2021-10-24,9
2021-10-31,12
2021-11-07,26
2021-11-14,21
2021-11-21,21
2021-11-28,30
2021-12-05,0
2021-12-12,31
2021-12-19,58
2021-12-26,39
2022-01-02,35
2022-01-09,38
2022-01-16,29
2022-01-23,35
2022-01-30,37
2022-02-06,32
2022-02-13,38
2022-02-20,52
2022-02-27,54
2022-03-06,66
2022-03-13,56
2022-03-20,44
2022-03-27,73
2022-04-03,44
2022-04-10,41
2022-04-17,48
2022-04-24,31
2022-05-01,43
2022-05-08,17
2022-05-15,23
2022-05-22,28
2022-05-29,7
2022-06-05,13
2022-06-12,16
2022-06-19,22
2022-06-26,13
2022-07-03,15
2022-07-10,7
2022-07-17,0
2022-07-24,20
2022-07-31,21
2022-08-07,9
2022-08-14,0
2022-08-21,0
2022-08-28,10
2022-09-04,19
2022-09-11,9
2022-09-18,16
2022-09-25,12
2022-10-02,15
2022-10-09,6
2022-10-16,14
2022-10-23,9
2022-10-30,16
2022-11-06,30
2022-11-13,24
2022-11-20,28
2022-11-27,40
2022-12-04,52
2022-12-11,51
2022-12-18,64
2022-12-25,90
2023-01-01,58
2023-01-08,37
2023-01-15,27
2023-01-22,38
2023-01-29,53
2023-02-05,45
2023-02-12,49
2023-02-19,49
2023-02-26,15
2023-03-05,53
2023-03-12,30
2023-03-19,35
2023-03-26,27
2023-04-02,45
2023-04-09,8
2023-04-16,67
