Category: All categories

Week,stomach flu symptoms: (Detroit MI)
2018-04-22,38
2018-04-29,0
2018-05-06,16
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,26
2018-06-10,46
2018-06-17,0
2018-06-24,37
2018-07-01,0
2018-07-08,0
2018-07-15,45
2018-07-22,0
2018-07-29,0
2018-08-05,30
2018-08-12,0
2018-08-19,39
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,18
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,17
2018-11-04,31
2018-11-11,26
2018-11-18,28
2018-11-25,0
2018-12-02,21
2018-12-09,28
2018-12-16,0
2018-12-23,40
2018-12-30,20
2019-01-06,21
2019-01-13,0
2019-01-20,74
2019-01-27,0
2019-02-03,0
2019-02-10,17
2019-02-17,0
2019-02-24,16
2019-03-03,0
2019-03-10,0
2019-03-17,26
2019-03-24,26
2019-03-31,0
2019-04-07,0
2019-04-14,26
2019-04-21,0
2019-04-28,53
2019-05-05,0
2019-05-12,31
2019-05-19,35
2019-05-26,0
2019-06-02,0
2019-06-09,23
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,18
2019-07-28,0
2019-08-04,0
2019-08-11,26
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,19
2019-09-22,0
2019-09-29,0
2019-10-06,18
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,22
2019-11-10,14
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,14
2019-12-22,0
2019-12-29,32
2020-01-05,25
2020-01-12,49
2020-01-19,0
2020-01-26,16
2020-02-02,25
2020-02-09,33
2020-02-16,60
2020-02-23,0
2020-03-01,0
2020-03-08,33
2020-03-15,0
2020-03-22,50
2020-03-29,15
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,30
2020-05-03,0
2020-05-10,14
2020-05-17,0
2020-05-24,15
2020-05-31,21
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,21
2020-07-12,29
2020-07-19,0
2020-07-26,0
2020-08-02,14
2020-08-09,0
2020-08-16,31
2020-08-23,14
2020-08-30,0
2020-09-06,34
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,17
2020-10-11,0
2020-10-18,0
2020-10-25,28
2020-11-01,0
2020-11-08,0
2020-11-15,25
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,66
2021-01-03,17
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,28
2021-04-11,24
2021-04-18,0
2021-04-25,0
2021-05-02,33
2021-05-09,21
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,21
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,38
2021-08-22,0
2021-08-29,44
2021-09-05,0
2021-09-12,30
2021-09-19,58
2021-09-26,28
2021-10-03,0
2021-10-10,18
2021-10-17,20
2021-10-24,28
2021-10-31,44
2021-11-07,0
2021-11-14,0
2021-11-21,21
2021-11-28,27
2021-12-05,0
2021-12-12,0
2021-12-19,59
2021-12-26,0
2022-01-02,0
2022-01-09,42
2022-01-16,0
2022-01-23,0
2022-01-30,40
2022-02-06,0
2022-02-13,0
2022-02-20,44
2022-02-27,0
2022-03-06,31
2022-03-13,44
2022-03-20,100
2022-03-27,27
2022-04-03,0
2022-04-10,0
2022-04-17,28
2022-04-24,0
2022-05-01,34
2022-05-08,39
2022-05-15,0
2022-05-22,0
2022-05-29,34
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,24
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,18
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,23
2022-11-06,0
2022-11-13,31
2022-11-20,0
2022-11-27,24
2022-12-04,0
2022-12-11,15
2022-12-18,35
2022-12-25,36
2023-01-01,35
2023-01-08,43
2023-01-15,0
2023-01-22,58
2023-01-29,25
2023-02-05,32
2023-02-12,0
2023-02-19,35
2023-02-26,0
2023-03-05,45
2023-03-12,0
2023-03-19,0
2023-03-26,26
2023-04-02,0
2023-04-09,0
2023-04-16,0
