Category: All categories

Week,covid: (Michigan)
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,<1
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,<1
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,<1
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,<1
2019-03-10,<1
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,<1
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,<1
2019-06-23,<1
2019-06-30,0
2019-07-07,<1
2019-07-14,0
2019-07-21,<1
2019-07-28,<1
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,<1
2019-09-01,0
2019-09-08,<1
2019-09-15,0
2019-09-22,<1
2019-09-29,0
2019-10-06,0
2019-10-13,<1
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,4
2020-03-08,23
2020-03-15,63
2020-03-22,85
2020-03-29,83
2020-04-05,74
2020-04-12,55
2020-04-19,53
2020-04-26,46
2020-05-03,44
2020-05-10,41
2020-05-17,38
2020-05-24,34
2020-05-31,28
2020-06-07,28
2020-06-14,31
2020-06-21,42
2020-06-28,51
2020-07-05,52
2020-07-12,59
2020-07-19,50
2020-07-26,53
2020-08-02,45
2020-08-09,41
2020-08-16,39
2020-08-23,34
2020-08-30,34
2020-09-06,29
2020-09-13,30
2020-09-20,29
2020-09-27,40
2020-10-04,41
2020-10-11,37
2020-10-18,42
2020-10-25,56
2020-11-01,47
2020-11-08,73
2020-11-15,85
2020-11-22,56
2020-11-29,56
2020-12-06,55
2020-12-13,53
2020-12-20,50
2020-12-27,48
2021-01-03,51
2021-01-10,54
2021-01-17,49
2021-01-24,49
2021-01-31,44
2021-02-07,44
2021-02-14,39
2021-02-21,39
2021-02-28,47
2021-03-07,60
2021-03-14,59
2021-03-21,71
2021-03-28,78
2021-04-04,94
2021-04-11,77
2021-04-18,58
2021-04-25,55
2021-05-02,44
2021-05-09,41
2021-05-16,34
2021-05-23,26
2021-05-30,23
2021-06-06,21
2021-06-13,20
2021-06-20,21
2021-06-27,20
2021-07-04,21
2021-07-11,22
2021-07-18,25
2021-07-25,33
2021-08-01,50
2021-08-08,43
2021-08-15,43
2021-08-22,45
2021-08-29,50
2021-09-05,45
2021-09-12,44
2021-09-19,39
2021-09-26,41
2021-10-03,37
2021-10-10,33
2021-10-17,31
2021-10-24,32
2021-10-31,41
2021-11-07,47
2021-11-14,55
2021-11-21,54
2021-11-28,57
2021-12-05,48
2021-12-12,49
2021-12-19,75
2021-12-26,96
2022-01-02,100
2022-01-09,78
2022-01-16,87
2022-01-23,44
2022-01-30,31
2022-02-06,25
2022-02-13,20
2022-02-20,19
2022-02-27,18
2022-03-06,17
2022-03-13,16
2022-03-20,15
2022-03-27,15
2022-04-03,15
2022-04-10,15
2022-04-17,15
2022-04-24,16
2022-05-01,17
2022-05-08,21
2022-05-15,22
2022-05-22,17
2022-05-29,17
2022-06-05,16
2022-06-12,15
2022-06-19,14
2022-06-26,14
2022-07-03,16
2022-07-10,17
2022-07-17,18
2022-07-24,18
2022-07-31,16
2022-08-07,17
2022-08-14,17
2022-08-21,17
2022-08-28,16
2022-09-04,16
2022-09-11,16
2022-09-18,15
2022-09-25,13
2022-10-02,14
2022-10-09,13
2022-10-16,12
2022-10-23,13
2022-10-30,11
2022-11-06,9
2022-11-13,9
2022-11-20,9
2022-11-27,11
2022-12-04,11
2022-12-11,15
2022-12-18,12
2022-12-25,12
2023-01-01,11
2023-01-08,9
2023-01-15,8
2023-01-22,7
2023-01-29,7
2023-02-05,7
2023-02-12,7
2023-02-19,7
2023-02-26,7
2023-03-05,7
2023-03-12,7
2023-03-19,7
2023-03-26,6
2023-04-02,6
2023-04-09,6
2023-04-16,5
