Category: All categories

Week,influenza symptoms: (Michigan)
2018-04-22,7
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,9
2018-06-03,11
2018-06-10,10
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,8
2018-07-29,6
2018-08-05,4
2018-08-12,0
2018-08-19,7
2018-08-26,0
2018-09-02,6
2018-09-09,10
2018-09-16,16
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,11
2018-11-11,0
2018-11-18,10
2018-11-25,9
2018-12-02,4
2018-12-09,0
2018-12-16,14
2018-12-23,8
2018-12-30,15
2019-01-06,14
2019-01-13,15
2019-01-20,12
2019-01-27,17
2019-02-03,15
2019-02-10,7
2019-02-17,9
2019-02-24,19
2019-03-03,29
2019-03-10,24
2019-03-17,60
2019-03-24,44
2019-03-31,16
2019-04-07,17
2019-04-14,8
2019-04-21,15
2019-04-28,0
2019-05-05,14
2019-05-12,0
2019-05-19,14
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,9
2019-06-23,11
2019-06-30,0
2019-07-07,0
2019-07-14,10
2019-07-21,0
2019-07-28,0
2019-08-04,4
2019-08-11,7
2019-08-18,0
2019-08-25,0
2019-09-01,4
2019-09-08,5
2019-09-15,0
2019-09-22,7
2019-09-29,4
2019-10-06,0
2019-10-13,13
2019-10-20,0
2019-10-27,9
2019-11-03,0
2019-11-10,0
2019-11-17,8
2019-11-24,0
2019-12-01,6
2019-12-08,12
2019-12-15,17
2019-12-22,37
2019-12-29,39
2020-01-05,34
2020-01-12,37
2020-01-19,39
2020-01-26,58
2020-02-02,55
2020-02-09,45
2020-02-16,55
2020-02-23,64
2020-03-01,39
2020-03-08,58
2020-03-15,43
2020-03-22,23
2020-03-29,15
2020-04-05,12
2020-04-12,5
2020-04-19,9
2020-04-26,0
2020-05-03,0
2020-05-10,8
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,11
2020-06-14,0
2020-06-21,7
2020-06-28,4
2020-07-05,0
2020-07-12,5
2020-07-19,0
2020-07-26,0
2020-08-02,4
2020-08-09,7
2020-08-16,0
2020-08-23,0
2020-08-30,7
2020-09-06,0
2020-09-13,0
2020-09-20,8
2020-09-27,5
2020-10-04,5
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,7
2020-11-08,4
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,4
2020-12-13,5
2020-12-20,0
2020-12-27,8
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,6
2021-02-21,4
2021-02-28,0
2021-03-07,7
2021-03-14,5
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,10
2021-05-16,0
2021-05-23,5
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,6
2021-08-01,4
2021-08-08,0
2021-08-15,0
2021-08-22,4
2021-08-29,0
2021-09-05,5
2021-09-12,6
2021-09-19,0
2021-09-26,4
2021-10-03,5
2021-10-10,9
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,5
2021-11-21,13
2021-11-28,5
2021-12-05,13
2021-12-12,21
2021-12-19,11
2021-12-26,10
2022-01-02,21
2022-01-09,14
2022-01-16,7
2022-01-23,14
2022-01-30,4
2022-02-06,0
2022-02-13,7
2022-02-20,8
2022-02-27,0
2022-03-06,10
2022-03-13,20
2022-03-20,17
2022-03-27,23
2022-04-03,9
2022-04-10,20
2022-04-17,17
2022-04-24,30
2022-05-01,17
2022-05-08,15
2022-05-15,16
2022-05-22,6
2022-05-29,0
2022-06-05,12
2022-06-12,5
2022-06-19,0
2022-06-26,0
2022-07-03,13
2022-07-10,8
2022-07-17,0
2022-07-24,0
2022-07-31,4
2022-08-07,11
2022-08-14,0
2022-08-21,0
2022-08-28,7
2022-09-04,4
2022-09-11,0
2022-09-18,3
2022-09-25,0
2022-10-02,0
2022-10-09,6
2022-10-16,6
2022-10-23,5
2022-10-30,15
2022-11-06,12
2022-11-13,10
2022-11-20,14
2022-11-27,26
2022-12-04,38
2022-12-11,94
2022-12-18,100
2022-12-25,66
2023-01-01,30
2023-01-08,14
2023-01-15,18
2023-01-22,15
2023-01-29,17
2023-02-05,0
2023-02-12,9
2023-02-19,8
2023-02-26,10
2023-03-05,5
2023-03-12,9
2023-03-19,0
2023-03-26,5
2023-04-02,0
2023-04-09,10
2023-04-16,71
