Category: All categories

Week,norovirus: (Michigan)
2018-04-22,6
2018-04-29,5
2018-05-06,10
2018-05-13,2
2018-05-20,3
2018-05-27,2
2018-06-03,3
2018-06-10,3
2018-06-17,2
2018-06-24,1
2018-07-01,0
2018-07-08,2
2018-07-15,2
2018-07-22,6
2018-07-29,3
2018-08-05,3
2018-08-12,3
2018-08-19,2
2018-08-26,6
2018-09-02,0
2018-09-09,2
2018-09-16,4
2018-09-23,0
2018-09-30,1
2018-10-07,0
2018-10-14,3
2018-10-21,2
2018-10-28,3
2018-11-04,0
2018-11-11,4
2018-11-18,0
2018-11-25,6
2018-12-02,6
2018-12-09,6
2018-12-16,8
2018-12-23,12
2018-12-30,9
2019-01-06,100
2019-01-13,71
2019-01-20,28
2019-01-27,18
2019-02-03,21
2019-02-10,12
2019-02-17,12
2019-02-24,4
2019-03-03,15
2019-03-10,13
2019-03-17,18
2019-03-24,13
2019-03-31,7
2019-04-07,15
2019-04-14,11
2019-04-21,10
2019-04-28,9
2019-05-05,14
2019-05-12,8
2019-05-19,0
2019-05-26,3
2019-06-02,3
2019-06-09,2
2019-06-16,0
2019-06-23,6
2019-06-30,2
2019-07-07,0
2019-07-14,3
2019-07-21,0
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,3
2019-08-25,3
2019-09-01,2
2019-09-08,0
2019-09-15,3
2019-09-22,3
2019-09-29,1
2019-10-06,3
2019-10-13,0
2019-10-20,6
2019-10-27,6
2019-11-03,3
2019-11-10,6
2019-11-17,12
2019-11-24,6
2019-12-01,13
2019-12-08,14
2019-12-15,13
2019-12-22,21
2019-12-29,11
2020-01-05,13
2020-01-12,10
2020-01-19,17
2020-01-26,15
2020-02-02,16
2020-02-09,11
2020-02-16,17
2020-02-23,17
2020-03-01,15
2020-03-08,27
2020-03-15,14
2020-03-22,8
2020-03-29,10
2020-04-05,5
2020-04-12,3
2020-04-19,5
2020-04-26,2
2020-05-03,0
2020-05-10,3
2020-05-17,0
2020-05-24,1
2020-05-31,0
2020-06-07,0
2020-06-14,5
2020-06-21,0
2020-06-28,2
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,2
2020-08-16,0
2020-08-23,0
2020-08-30,1
2020-09-06,2
2020-09-13,4
2020-09-20,2
2020-09-27,0
2020-10-04,3
2020-10-11,0
2020-10-18,0
2020-10-25,1
2020-11-01,0
2020-11-08,0
2020-11-15,2
2020-11-22,2
2020-11-29,2
2020-12-06,3
2020-12-13,0
2020-12-20,3
2020-12-27,0
2021-01-03,3
2021-01-10,3
2021-01-17,1
2021-01-24,0
2021-01-31,1
2021-02-07,4
2021-02-14,0
2021-02-21,3
2021-02-28,0
2021-03-07,3
2021-03-14,0
2021-03-21,5
2021-03-28,5
2021-04-04,6
2021-04-11,3
2021-04-18,5
2021-04-25,3
2021-05-02,6
2021-05-09,12
2021-05-16,8
2021-05-23,8
2021-05-30,0
2021-06-06,3
2021-06-13,3
2021-06-20,3
2021-06-27,0
2021-07-04,6
2021-07-11,2
2021-07-18,1
2021-07-25,0
2021-08-01,2
2021-08-08,3
2021-08-15,2
2021-08-22,5
2021-08-29,2
2021-09-05,0
2021-09-12,2
2021-09-19,5
2021-09-26,4
2021-10-03,3
2021-10-10,4
2021-10-17,2
2021-10-24,0
2021-10-31,3
2021-11-07,6
2021-11-14,6
2021-11-21,3
2021-11-28,5
2021-12-05,5
2021-12-12,4
2021-12-19,12
2021-12-26,7
2022-01-02,3
2022-01-09,4
2022-01-16,4
2022-01-23,2
2022-01-30,9
2022-02-06,7
2022-02-13,14
2022-02-20,6
2022-02-27,14
2022-03-06,15
2022-03-13,24
2022-03-20,23
2022-03-27,17
2022-04-03,24
2022-04-10,23
2022-04-17,17
2022-04-24,18
2022-05-01,13
2022-05-08,11
2022-05-15,5
2022-05-22,11
2022-05-29,7
2022-06-05,5
2022-06-12,9
2022-06-19,4
2022-06-26,6
2022-07-03,3
2022-07-10,6
2022-07-17,4
2022-07-24,5
2022-07-31,2
2022-08-07,1
2022-08-14,2
2022-08-21,2
2022-08-28,4
2022-09-04,9
2022-09-11,1
2022-09-18,3
2022-09-25,4
2022-10-02,6
2022-10-09,4
2022-10-16,8
2022-10-23,6
2022-10-30,5
2022-11-06,6
2022-11-13,7
2022-11-20,5
2022-11-27,7
2022-12-04,9
2022-12-11,13
2022-12-18,11
2022-12-25,10
2023-01-01,11
2023-01-08,8
2023-01-15,8
2023-01-22,8
2023-01-29,5
2023-02-05,38
2023-02-12,75
2023-02-19,59
2023-02-26,43
2023-03-05,46
2023-03-12,32
2023-03-19,28
2023-03-26,29
2023-04-02,18
2023-04-09,20
2023-04-16,0
