Category: All categories

Week,rsv: (Michigan)
2018-04-22,2
2018-04-29,1
2018-05-06,1
2018-05-13,1
2018-05-20,1
2018-05-27,1
2018-06-03,2
2018-06-10,1
2018-06-17,1
2018-06-24,1
2018-07-01,<1
2018-07-08,2
2018-07-15,<1
2018-07-22,<1
2018-07-29,1
2018-08-05,1
2018-08-12,0
2018-08-19,1
2018-08-26,0
2018-09-02,1
2018-09-09,1
2018-09-16,2
2018-09-23,3
2018-09-30,2
2018-10-07,5
2018-10-14,3
2018-10-21,2
2018-10-28,3
2018-11-04,3
2018-11-11,4
2018-11-18,3
2018-11-25,6
2018-12-02,6
2018-12-09,8
2018-12-16,9
2018-12-23,14
2018-12-30,16
2019-01-06,10
2019-01-13,10
2019-01-20,9
2019-01-27,7
2019-02-03,7
2019-02-10,5
2019-02-17,6
2019-02-24,4
2019-03-03,6
2019-03-10,3
2019-03-17,3
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,1
2019-04-21,2
2019-04-28,1
2019-05-05,2
2019-05-12,2
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,2
2019-06-30,0
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,<1
2019-08-04,<1
2019-08-11,0
2019-08-18,1
2019-08-25,1
2019-09-01,2
2019-09-08,<1
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,4
2019-10-20,3
2019-10-27,2
2019-11-03,5
2019-11-10,5
2019-11-17,6
2019-11-24,7
2019-12-01,10
2019-12-08,12
2019-12-15,19
2019-12-22,20
2019-12-29,23
2020-01-05,22
2020-01-12,13
2020-01-19,13
2020-01-26,9
2020-02-02,8
2020-02-09,7
2020-02-16,5
2020-02-23,5
2020-03-01,6
2020-03-08,2
2020-03-15,6
2020-03-22,4
2020-03-29,2
2020-04-05,1
2020-04-12,1
2020-04-19,2
2020-04-26,1
2020-05-03,0
2020-05-10,1
2020-05-17,<1
2020-05-24,0
2020-05-31,1
2020-06-07,<1
2020-06-14,0
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,2
2020-08-02,1
2020-08-09,0
2020-08-16,1
2020-08-23,1
2020-08-30,0
2020-09-06,<1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,2
2020-10-11,1
2020-10-18,<1
2020-10-25,1
2020-11-01,1
2020-11-08,<1
2020-11-15,1
2020-11-22,1
2020-11-29,<1
2020-12-06,1
2020-12-13,1
2020-12-20,0
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,2
2021-01-31,<1
2021-02-07,0
2021-02-14,1
2021-02-21,1
2021-02-28,0
2021-03-07,1
2021-03-14,1
2021-03-21,<1
2021-03-28,1
2021-04-04,0
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,<1
2021-05-09,2
2021-05-16,1
2021-05-23,<1
2021-05-30,2
2021-06-06,2
2021-06-13,4
2021-06-20,3
2021-06-27,3
2021-07-04,5
2021-07-11,10
2021-07-18,9
2021-07-25,7
2021-08-01,9
2021-08-08,13
2021-08-15,13
2021-08-22,16
2021-08-29,18
2021-09-05,18
2021-09-12,22
2021-09-19,24
2021-09-26,20
2021-10-03,24
2021-10-10,24
2021-10-17,20
2021-10-24,22
2021-10-31,18
2021-11-07,17
2021-11-14,15
2021-11-21,14
2021-11-28,10
2021-12-05,7
2021-12-12,8
2021-12-19,8
2021-12-26,8
2022-01-02,6
2022-01-09,5
2022-01-16,4
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,3
2022-02-20,2
2022-02-27,2
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,2
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,2
2022-05-15,1
2022-05-22,2
2022-05-29,2
2022-06-05,1
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,3
2022-07-10,2
2022-07-17,2
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,3
2022-09-04,4
2022-09-11,4
2022-09-18,6
2022-09-25,7
2022-10-02,10
2022-10-09,14
2022-10-16,33
2022-10-23,63
2022-10-30,100
2022-11-06,88
2022-11-13,82
2022-11-20,67
2022-11-27,54
2022-12-04,51
2022-12-11,53
2022-12-18,40
2022-12-25,25
2023-01-01,18
2023-01-08,12
2023-01-15,9
2023-01-22,7
2023-01-29,7
2023-02-05,5
2023-02-12,6
2023-02-19,6
2023-02-26,8
2023-03-05,5
2023-03-12,5
2023-03-19,4
2023-03-26,4
2023-04-02,2
2023-04-09,1
2023-04-16,7
