Category: All categories

Week,stomach flu: (Michigan)
2018-04-22,35
2018-04-29,39
2018-05-06,32
2018-05-13,11
2018-05-20,25
2018-05-27,19
2018-06-03,9
2018-06-10,11
2018-06-17,17
2018-06-24,8
2018-07-01,8
2018-07-08,13
2018-07-15,13
2018-07-22,16
2018-07-29,13
2018-08-05,9
2018-08-12,13
2018-08-19,16
2018-08-26,16
2018-09-02,12
2018-09-09,14
2018-09-16,14
2018-09-23,17
2018-09-30,14
2018-10-07,18
2018-10-14,16
2018-10-21,23
2018-10-28,16
2018-11-04,15
2018-11-11,28
2018-11-18,28
2018-11-25,37
2018-12-02,37
2018-12-09,42
2018-12-16,65
2018-12-23,100
2018-12-30,81
2019-01-06,58
2019-01-13,64
2019-01-20,51
2019-01-27,40
2019-02-03,36
2019-02-10,45
2019-02-17,49
2019-02-24,58
2019-03-03,50
2019-03-10,60
2019-03-17,58
2019-03-24,60
2019-03-31,48
2019-04-07,43
2019-04-14,40
2019-04-21,32
2019-04-28,40
2019-05-05,27
2019-05-12,31
2019-05-19,19
2019-05-26,17
2019-06-02,15
2019-06-09,5
2019-06-16,33
2019-06-23,9
2019-06-30,14
2019-07-07,22
2019-07-14,12
2019-07-21,14
2019-07-28,13
2019-08-04,12
2019-08-11,8
2019-08-18,11
2019-08-25,21
2019-09-01,11
2019-09-08,10
2019-09-15,11
2019-09-22,25
2019-09-29,22
2019-10-06,21
2019-10-13,19
2019-10-20,22
2019-10-27,19
2019-11-03,19
2019-11-10,29
2019-11-17,14
2019-11-24,20
2019-12-01,26
2019-12-08,36
2019-12-15,48
2019-12-22,94
2019-12-29,64
2020-01-05,61
2020-01-12,51
2020-01-19,65
2020-01-26,47
2020-02-02,63
2020-02-09,42
2020-02-16,56
2020-02-23,65
2020-03-01,50
2020-03-08,63
2020-03-15,31
2020-03-22,26
2020-03-29,13
2020-04-05,13
2020-04-12,0
2020-04-19,6
2020-04-26,14
2020-05-03,7
2020-05-10,7
2020-05-17,3
2020-05-24,8
2020-05-31,0
2020-06-07,0
2020-06-14,6
2020-06-21,9
2020-06-28,6
2020-07-05,3
2020-07-12,5
2020-07-19,7
2020-07-26,0
2020-08-02,10
2020-08-09,3
2020-08-16,0
2020-08-23,0
2020-08-30,7
2020-09-06,6
2020-09-13,0
2020-09-20,5
2020-09-27,8
2020-10-04,12
2020-10-11,13
2020-10-18,8
2020-10-25,12
2020-11-01,10
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,6
2020-12-06,6
2020-12-13,7
2020-12-20,6
2020-12-27,4
2021-01-03,8
2021-01-10,7
2021-01-17,8
2021-01-24,3
2021-01-31,4
2021-02-07,7
2021-02-14,5
2021-02-21,7
2021-02-28,9
2021-03-07,10
2021-03-14,12
2021-03-21,11
2021-03-28,26
2021-04-04,18
2021-04-11,17
2021-04-18,18
2021-04-25,14
2021-05-02,19
2021-05-09,7
2021-05-16,11
2021-05-23,16
2021-05-30,16
2021-06-06,11
2021-06-13,8
2021-06-20,13
2021-06-27,11
2021-07-04,10
2021-07-11,13
2021-07-18,11
2021-07-25,4
2021-08-01,11
2021-08-08,15
2021-08-15,14
2021-08-22,8
2021-08-29,15
2021-09-05,7
2021-09-12,14
2021-09-19,5
2021-09-26,11
2021-10-03,7
2021-10-10,6
2021-10-17,11
2021-10-24,0
2021-10-31,14
2021-11-07,15
2021-11-14,22
2021-11-21,25
2021-11-28,22
2021-12-05,16
2021-12-12,27
2021-12-19,35
2021-12-26,29
2022-01-02,38
2022-01-09,31
2022-01-16,25
2022-01-23,31
2022-01-30,25
2022-02-06,41
2022-02-13,38
2022-02-20,43
2022-02-27,58
2022-03-06,58
2022-03-13,58
2022-03-20,52
2022-03-27,41
2022-04-03,47
2022-04-10,42
2022-04-17,37
2022-04-24,35
2022-05-01,31
2022-05-08,17
2022-05-15,21
2022-05-22,17
2022-05-29,20
2022-06-05,9
2022-06-12,9
2022-06-19,8
2022-06-26,22
2022-07-03,9
2022-07-10,10
2022-07-17,4
2022-07-24,13
2022-07-31,11
2022-08-07,11
2022-08-14,13
2022-08-21,6
2022-08-28,12
2022-09-04,17
2022-09-11,4
2022-09-18,14
2022-09-25,14
2022-10-02,5
2022-10-09,25
2022-10-16,8
2022-10-23,24
2022-10-30,18
2022-11-06,23
2022-11-13,17
2022-11-20,24
2022-11-27,28
2022-12-04,46
2022-12-11,49
2022-12-18,58
2022-12-25,75
2023-01-01,45
2023-01-08,26
2023-01-15,25
2023-01-22,33
2023-01-29,40
2023-02-05,48
2023-02-12,56
2023-02-19,49
2023-02-26,33
2023-03-05,42
2023-03-12,37
2023-03-19,33
2023-03-26,32
2023-04-02,48
2023-04-09,14
2023-04-16,24
