Category: All categories

Week,stomach flu symptoms: (Michigan)
2018-04-22,30
2018-04-29,28
2018-05-06,0
2018-05-13,0
2018-05-20,20
2018-05-27,21
2018-06-03,0
2018-06-10,14
2018-06-17,17
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,24
2018-08-05,19
2018-08-12,39
2018-08-19,0
2018-08-26,50
2018-09-02,23
2018-09-09,25
2018-09-16,0
2018-09-23,52
2018-09-30,33
2018-10-07,0
2018-10-14,23
2018-10-21,27
2018-10-28,20
2018-11-04,13
2018-11-11,31
2018-11-18,24
2018-11-25,19
2018-12-02,51
2018-12-09,71
2018-12-16,27
2018-12-23,86
2018-12-30,55
2019-01-06,26
2019-01-13,29
2019-01-20,30
2019-01-27,34
2019-02-03,39
2019-02-10,18
2019-02-17,0
2019-02-24,38
2019-03-03,44
2019-03-10,38
2019-03-17,67
2019-03-24,33
2019-03-31,32
2019-04-07,49
2019-04-14,0
2019-04-21,0
2019-04-28,51
2019-05-05,40
2019-05-12,0
2019-05-19,20
2019-05-26,25
2019-06-02,43
2019-06-09,0
2019-06-16,23
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,15
2019-07-21,0
2019-07-28,17
2019-08-04,0
2019-08-11,49
2019-08-18,0
2019-08-25,27
2019-09-01,13
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,16
2019-10-06,0
2019-10-13,14
2019-10-20,28
2019-10-27,0
2019-11-03,33
2019-11-10,0
2019-11-17,25
2019-11-24,0
2019-12-01,22
2019-12-08,42
2019-12-15,53
2019-12-22,59
2019-12-29,36
2020-01-05,30
2020-01-12,38
2020-01-19,19
2020-01-26,30
2020-02-02,0
2020-02-09,27
2020-02-16,62
2020-02-23,40
2020-03-01,13
2020-03-08,51
2020-03-15,45
2020-03-22,26
2020-03-29,13
2020-04-05,0
2020-04-12,15
2020-04-19,20
2020-04-26,15
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,50
2020-06-07,16
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,12
2020-08-09,25
2020-08-16,54
2020-08-23,15
2020-08-30,19
2020-09-06,0
2020-09-13,0
2020-09-20,16
2020-09-27,0
2020-10-04,18
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,60
2020-11-22,12
2020-11-29,0
2020-12-06,0
2020-12-13,18
2020-12-20,41
2020-12-27,0
2021-01-03,27
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,17
2021-02-07,0
2021-02-14,53
2021-02-21,0
2021-02-28,53
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,44
2021-04-04,20
2021-04-11,15
2021-04-18,0
2021-04-25,0
2021-05-02,52
2021-05-09,19
2021-05-16,14
2021-05-23,0
2021-05-30,0
2021-06-06,35
2021-06-13,0
2021-06-20,15
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,18
2021-07-25,0
2021-08-01,15
2021-08-08,23
2021-08-15,0
2021-08-22,0
2021-08-29,37
2021-09-05,18
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,25
2021-10-17,0
2021-10-24,29
2021-10-31,31
2021-11-07,28
2021-11-14,20
2021-11-21,0
2021-11-28,18
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,20
2022-01-02,59
2022-01-09,73
2022-01-16,34
2022-01-23,0
2022-01-30,41
2022-02-06,50
2022-02-13,16
2022-02-20,21
2022-02-27,32
2022-03-06,55
2022-03-13,25
2022-03-20,45
2022-03-27,37
2022-04-03,62
2022-04-10,15
2022-04-17,26
2022-04-24,20
2022-05-01,0
2022-05-08,31
2022-05-15,37
2022-05-22,34
2022-05-29,41
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,20
2022-07-10,19
2022-07-17,17
2022-07-24,26
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,23
2022-09-04,15
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,38
2022-10-16,0
2022-10-23,0
2022-10-30,30
2022-11-06,13
2022-11-13,47
2022-11-20,0
2022-11-27,36
2022-12-04,13
2022-12-11,68
2022-12-18,100
2022-12-25,53
2023-01-01,74
2023-01-08,31
2023-01-15,24
2023-01-22,17
2023-01-29,13
2023-02-05,43
2023-02-12,12
2023-02-19,34
2023-02-26,27
2023-03-05,42
2023-03-12,0
2023-03-19,12
2023-03-26,49
2023-04-02,31
2023-04-09,24
2023-04-16,0
