"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
"2021-07-06","AA","N1","SOLID",2.87769784172662e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-06","AA","N2","SOLID",1.43884892086331e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-08","AA","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-08","AA","N2","INFLUENT",7.60456273764259e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-08","YC","N1","INFLUENT",3.73333333333333e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-08","YC","N2","INFLUENT",4.62222222222222e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-09","AA","N1","INFLUENT",1.12456747404844e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-09","AA","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-09","YC","N1","INFLUENT",1.27931769722814e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-09","YC","N2","INFLUENT",1.77683013503909e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-10","AA","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-10","AA","N1","SOLID",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-10","AA","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-10","AA","N2","SOLID",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-10","YC","N1","INFLUENT",5.6043956043956e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-10","YC","N2","INFLUENT",4.3956043956044e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-11","AA","N1","INFLUENT",9.74025974025974e-06,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-11","AA","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-11","YC","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-11","YC","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-12","AA","N1","INFLUENT",6.32339656729901e-06,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-12","AA","N2","INFLUENT",6.32339656729901e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-12","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-12","FL","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-12","JS","N1","INFLUENT",3.16205533596838e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-12","JS","N2","INFLUENT",5.33596837944664e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-12","YC","N1","INFLUENT",2.32558139534884e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-12","YC","N2","INFLUENT",3.796867584243e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-13","AA","N1","INFLUENT",1.21951219512195e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-13","AA","N2","INFLUENT",2.26480836236934e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-13","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-13","FL","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-13","JS","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-13","JS","N2","INFLUENT",1.2720156555773e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-13","YC","N1","INFLUENT",2.86944045911047e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-13","YC","N2","INFLUENT",3.87374461979914e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-14","AA","N1","INFLUENT",0,5.64349328560895e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-14","AA","N2","INFLUENT",0,5.225148989805e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-14","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-14","FL","N2","INFLUENT",6.72645739910314e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-14","JS","N1","INFLUENT",1.05448154657294e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-14","JS","N2","INFLUENT",5.27240773286468e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-14","YC","N1","INFLUENT",1.06209150326797e-05,2.41059428466919e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-14","YC","N2","INFLUENT",2.77777777777778e-05,2.54655227269528e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-15","AA","N1","INFLUENT",0,5.64349328560895e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-15","AA","N2","INFLUENT",7.52587017873942e-06,5.21390719567598e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-15","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-15","FL","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-15","JS","N1","INFLUENT",1.20603015075377e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
